router : GET | responce time : 0 
router : POST | responce time : 0 
router : POST | responce time : 0 
router : GET | responce time : 0 
router : GET | responce time : 0 
router : POST | responce time : 0 
router : POST | responce time : 0 
router : GET | responce time : 0 
router : DELETE | responce time : 0 
router : GET | responce time : 0 
router : PATCH | responce time : 0 
router : GET | responce time : 0 
router : GET | responce time : 0 
router : GET | responce time : 0 
router : GET | responce time : 0 
router : GET | responce time : 0 
router : GET | responce time : 0 
router : GET | responce time : 0 
router : GET | responce time : 0 
router : GET | responce time : 0 
router : GET | responce time : 0 
router : GET | responce time : 0 
router : GET | responce time : 0 
